TEAM,STADIUM,AVERAGE ATTENDANCE,TOTAL ATTENDANCE,YEAR
Dallas Cowboys,AT&T Stadium,"92,539*",740318,2016
New York Giants,MetLife Stadium,78789,630315,2016
Washington Redskins,FedEx Field,78304,626432,2016
Green Bay Packers,Lambeau Field,78215,625727,2016
New York Jets,MetLife Stadium,78160,625280,2016
Denver Broncos,Sports Authority Field at Mile High,76774,614193,2016
Los Angeles Rams,Los Angeles Memorial Coliseum,74121,74121,2016
Carolina Panthers,Bank of America Stadium,73792,590343,2016
Kansas City Chiefs,Arrowhead Stadium,73328,586624,2016
New Orleans Saints,Mercedes-Benz Superdome,73109,584876,2016
Houston Texans,NRG Stadium,71868,574947,2016
Baltimore Ravens,M&T Bank Stadium,71102,568823,2016
San Francisco 49ers,Levi's Stadium,70178,561424,2016
Atlanta Falcons,Georgia Dome,69999,559998,2016
Philadelphia Eagles,Lincoln Financial Field,69596,556768,2016
Seattle Seahawks,CenturyLink Field,69073,552588,2016
Buffalo Bills,Ralph Wilson Stadium,68509,548073,2016
New England Patriots,Gillette Stadium,66829,534632,2016
Minnesota Vikings,U.S. Bank Stadium,66786,534289,2016
Indianapolis Colts,Lucas Oil Stadium,65549,524393,2016
Miami Dolphins,Hard Rock Stadium,160,1280,2016
Arizona Cardinals,University of Phoenix Stadium,64831,518652,2016
Tennessee Titans,Nissan Stadium,64659,517273,2016
Pittsburgh Steelers,Heinz Field,64312,514503,2016
Cleveland Browns,FirstEnergy Stadium,64311,514489,2016
Jacksonville Jaguars,EverBank Field,61915,433408,2016
Detroit Lions,Ford Field,60792,486342,2016
Tampa Bay Buccaneers,Raymond James Stadium,60624,484998,2016
Cincinnati Bengals,Paul Brown Stadium,60511,423583,2016
Chicago Bears,Soldier Field,60368,482951,2016
San Diego Chargers,Qualcomm Stadium,57024,456197,2016
Oakland Raiders,O.co Coliseum,54584,382088,2016
Green Bay Packers,Lambeau Field,78413,627308,2015
Indianapolis Colts,Lucas Oil Stadium,66047,528381,2015
San Francisco 49ers,Levi's Stadium,70799,566392,2015
Seattle Seahawks,CenturyLink Field,69020,552162,2015
Miami Dolphins,Sun Life Stadium,67193,537548,2015
Philadelphia Eagles,Lincoln Financial Field,69483,555868,2015
Denver Broncos,Sports Authority Field at Mile High,76922,615381,2015
Houston Texans,NRG Stadium,71769,574159,2015
Chicago Bears,Soldier Field,62035,496287,2015
Carolina Panthers,Bank of America Stadium,74056,592454,2015
Baltimore Ravens,M&T Bank Stadium,71002,568018,2015
Minnesota Vikings,TCF Bank Stadium,52430,419440,2015
Atlanta Falcons,Georgia Dome,70355,562845,2015
Arizona Cardinals,University of Phoenix Stadium,64185,513487,2015
Pittsburgh Steelers,Heinz Field,64356,514854,2015
New England Patriots,Gillette Stadium,66829,534632,2015
Kansas City Chiefs,Arrowhead Stadium,74086,592688,2015
New York Giants,MetLife Stadium,79001,632011,2015
Buffalo Bills,Ralph Wilson Stadium,69880,559047,2015
New Orleans Saints,Mercedes-Benz Superdome,73038,584305,2015
New York Jets,MetLife Stadium,78160,625280,2015
San Diego Chargers,Qualcomm Stadium,66772,534180,2015
Detroit Lions,Ford Field,61347,490782,2015
Cincinnati Bengals,Paul Brown Stadium,61389,491118,2015
Tampa Bay Buccaneers,Raymond James Stadium,61560,492480,2015
Dallas Cowboys,AT&T Stadium,91459,731672,2015
Jacksonville Jaguars,EverBank Field,61463,430247,2015
Cleveland Browns,FirstEnergy Stadium,66186,529488,2015
Tennessee Titans,LP Field,62304,498435,2015
Washington Redskins,FedEx Field,76209,609672,2015
Oakland Raiders,O.co Coliseum,54613,436910,2015
St. Louis Rams,Edward Jones Dome,52402,419220,2015
Dallas Cowboys,AT&T Stadium,90069,720558,2014
New York Jets,MetLife Stadium,78160,625280,2014
Green Bay Packers,Lambeau Field,78139,625114,2014
Washington Redskins,FedEx Field,77964,623715,2014
Denver Broncos,Sports Authority Field at Mile High,76939,615517,2014
Kansas City Chiefs,Arrowhead Stadium,74967,599743,2014
Carolina Panthers,Bank of America Stadium,73607,588861,2014
New Orleans Saints,Mercedes-Benz Superdome,73112,584900,2014
Atlanta Falcons,Georgia Dome,72130,577047,2014
Houston Texans,NRG Stadium,71766,574132,2014
Baltimore Ravens,M&T Bank Stadium,71044,568353,2014
San Francisco 49ers,Levi's Stadium,70774,566192,2014
Miami Dolphins,Sun Life Stadium,70035,560280,2014
Philadelphia Eagles,Lincoln Financial Field,69596,556768,2014
Tennessee Titans,LP Field,69143,553144,2014
New England Patriots,Gillette Stadium,68756,550048,2014
Seattle Seahawks,CenturyLink Field,68412,547298,2014
Buffalo Bills,Ralph Wilson Stadium,67522,540180,2014
Cleveland Browns,FirstEnergy Stadium,67425,539400,2014
Jacksonville Jaguars,EverBank Field,65541,524335,2014
San Diego Chargers,Qualcomm Stadium,65432,523457,2014
Indianapolis Colts,Lucas Oil Stadium,65375,523004,2014
Detroit Lions,Ford Field,63024,504198,2014
Pittsburgh Steelers,Heinz Field,62226,497811,2014
Arizona Cardinals,University of Phoenix Stadium,61979,495835,2014
Chicago Bears,Soldier Field,61681,493449,2014
Cincinnati Bengals,Paul Brown Stadium,60703,485628,2014
Tampa Bay Buccaneers,Raymond James Stadium,59659,477273,2014
St. Louis Rams,Edward Jones Dome,57018,456146,2014
Oakland Raiders,O.co Coliseum,53699,375683,2014
Minnesota Vikings,TCF Bank Stadium,52238,417906,2014
Dallas Cowboys,Cowboys Stadium,88043,704345,2013
New York Giants,MetLife Stadium,80148,641184,2013
Green Bay Packers,Lambeau Field,77947,623577,2013
Washington Redskins,FedExField,77220,617767,2013
New York Jets,MetLife Stadium,76957,615656,2013
Denver Broncos,Sports Authority Field at Mile High,76872,614977,2013
Kansas City Chiefs,Arrowhead Stadium,75359,602877,2013
Carolina Panthers,Bank of America Stadium,73443,587544,2013
New Orleans Saints,Mercedes-Benz Superdome,72901,583210,2013
Houston Texans,Reliant Stadium,71658,573271,2013
Cleveland Browns,Cleveland Browns Stadium,71242,569939,2013
Baltimore Ravens,M&T Bank Stadium,71135,569084,2013
Atlanta Falcons,Georgia Dome,70224,561795,2013
San Francisco 49ers,Candlestick Park,69732,557856,2013
Philadelphia Eagles,Lincoln Financial Field,69144,553152,2013
Tennessee Titans,LP Field,69143,553144,2013
New England Patriots,Gillette Stadium,68756,550048,2013
Seattle Seahawks,CenturyLink Field,68197,545577,2013
Buffalo Bills,Ralph Wilson Stadium,66267,463873,2013
Indianapolis Colts,Lucas Oil Stadium,65950,527606,2013
Miami Dolphins,Sun Life Stadium,64319,514553,2013
San Diego Chargers,Qualcomm Stadium,64205,513641,2013
Minnesota Vikings,Hubert H. Humphrey Metrodome,64019,448135,2013
Detroit Lions,Ford Field,63796,510369,2013
Cincinnati Bengals,Paul Brown Stadium,63297,506377,2013
Chicago Bears,Soldier Field,62358,498864,2013
Arizona Cardinals,University of Phoenix Stadium,61033,488271,2013
Jacksonville Jaguars,EverBank Field,59940,419581,2013
Tampa Bay Buccaneers,Raymond James Stadium,58818,470548,2013
Pittsburgh Steelers,Heinz Field,57311,458489,2013
St. Louis Rams,Edward Jones Dome,56957,455657,2013
Oakland Raiders,O.co Coliseum,50444,403556,2013
Dallas Cowboys,Cowboys Stadium,88531,708249,2012
New York Giants,MetLife Stadium,80495,643964,2012
Washington Redskins,FedExField,79654,637236,2012
New York Jets,MetLife Stadium,79088,632704,2012
Denver Broncos,Sports Authority Field at Mile High,76632,613062,2012
Carolina Panthers,Bank of America Stadium,73293,586347,2012
New Orleans Saints,Mercedes-Benz Superdome,72888,583107,2012
Houston Texans,Reliant Stadium,71665,573321,2012
Baltimore Ravens,M&T Bank Stadium,71278,570229,2012
Green Bay Packers,Lambeau Field,70507,564062,2012
Atlanta Falcons,Georgia Dome,70096,560773,2012
San Francisco 49ers,Candlestick Park,69732,557856,2012
Philadelphia Eagles,Lincoln Financial Field,69144,553152,2012
Tennessee Titans,LP Field,69143,553144,2012
New England Patriots,Gillette Stadium,68755,550044,2012
Kansas City Chiefs,Arrowhead Stadium,68508,548070,2012
Seattle Seahawks,CenturyLink Field,67446,543570,2012
Cleveland Browns,Cleveland Browns Stadium,66632,533058,2012
Indianapolis Colts,Lucas Oil Stadium,65189,521518,2012
Jacksonville Jaguars,EverBank Field,64984,519872,2012
Buffalo Bills,Ralph Wilson Stadium**,64850,454653,2012
Detroit Lions,Ford Field,63769,510158,2012
Chicago Bears,Soldier Field,62329,498633,2012
Cincinnati Bengals,Paul Brown Stadium,61188,489504,2012
Pittsburgh Steelers,Heinz Field,61141,489135,2012
Arizona Cardinals,University of Phoenix Stadium,60890,487125,2012
Minnesota Vikings,Hubert H. Humphrey Metrodome,60725,485802,2012
San Diego Chargers,Qualcomm Stadium,59964,479716,2012
Miami Dolphins,Sun Life Stadium,57379,459033,2012
St. Louis Rams,Edward Jones Dome,56703,396925,2012
Tampa Bay Buccaneers,Raymond James Stadium,55102,440189,2012
Oakland Raiders,O.co Coliseum,54216,433732,2012
Dallas Cowboys,Cowboys Stadium,85512,684096,2011
New York Giants,New Meadowlands Stadium,79475,635800,2011
New York Jets,New Meadowlands Stadium,78986,631888,2011
Washington Redskins,FedExField,76921,615368,2011
Denver Broncos,Invesco Field at Mile High,75327,602618,2011
New Orleans Saints,Mercedes-Benz Superdome,73042,584336,2011
Carolina Panthers,Bank of America Stadium,72292,578342,2011
Kansas City Chiefs,Arrowhead Stadium,72082,576659,2011
Houston Texans,Reliant Stadium,71496,571969,2011
Baltimore Ravens,M&T Bank Stadium,71224,569792,2011
Green Bay Packers,Lambeau Field,70512,564097,2011
San Francisco 49ers,Candlestick Park,69732,557856,2011
Philadelphia Eagles,Lincoln Financial Field,69144,553152,2011
Tennessee Titans,LP Field,69143,553144,2011
Atlanta Falcons,Georgia Dome,68986,551892,2011
New England Patriots,Gillette Stadium,68756,550048,2011
Seattle Seahawks,CenturyLink Field,66413,531311,2011
Cleveland Browns,Cleveland Browns Stadium,65859,526874,2011
San Diego Chargers,Qualcomm Stadium,65392,523143,2011
Indianapolis Colts,Lucas Oil Stadium,64828,518627,2011
Detroit Lions,Ford Field,63742,509940,2011
Pittsburgh Steelers,Heinz Field,63034,504279,2011
Minnesota Vikings,Hubert H. Humphrey Metrodome,62816,502529,2011
Jacksonville Jaguars,EverBank Field,62331,498655,2011
Chicago Bears,Soldier Field,62145,497166,2011
Arizona Cardinals,University of Phoenix Stadium,61181,489455,2011
Miami Dolphins,Sun Life Stadium,60886,487089,2011
Oakland Raiders,Oakland–Alameda County Coliseum,59242,473938,2011
St. Louis Rams,Edward Jones Dome,56394,451153,2011
Buffalo Bills,Ralph Wilson Stadium**,62694,438864,2011
Tampa Bay Buccaneers,Raymond James Stadium*,56614,396300,2011
Cincinnati Bengals,Paul Brown Stadium,49251,394009,2011
Dallas Cowboys,Cowboys Stadium,87047,696377,2010
Washington Redskins,FedExField,83172,665380,2010
New York Giants,New Meadowlands Stadium,79019,632156,2010
New York Jets,New Meadowlands Stadium,78596,628768,2010
Denver Broncos,Invesco Field at Mile High,74908,599264,2010
Carolina Panthers,Bank of America Stadium,72620,580965,2010
Baltimore Ravens,M&T Bank Stadium,71227,569817,2010
Houston Texans,Reliant Stadium,71080,568643,2010
Green Bay Packers,Lambeau Field,70795,566362,2010
New Orleans Saints,Louisiana Superdome,70038,560304,2010
Philadelphia Eagles,Lincoln Financial Field,69144,553152,2010
Tennessee Titans,LP Field,69143,553144,2010
New England Patriots,Gillette Stadium,68756,550048,2010
Atlanta Falcons,Georgia Dome,67850,542800,2010
Miami Dolphins,Sun Life Stadium,67744,541959,2010
Kansas City Chiefs,Arrowhead Stadium,67672,541380,2010
Seattle Seahawks,Qwest Field,66992,539141,2010
Indianapolis Colts,Lucas Oil Stadium,66975,535942,2010
Cleveland Browns,Cleveland Browns Stadium,66116,528933,2010
San Diego Chargers,Qualcomm Stadium,65530,524241,2010
Pittsburgh Steelers,Heinz Field,63083,504669,2010
Jacksonville Jaguars,EverBank Field,63032,504262,2010
Arizona Cardinals,University of Phoenix Stadium,62774,502197,2010
Chicago Bears,Soldier Field,62195,497561,2010
San Francisco 49ers,Candlestick Park,69732,488124,2010
Cincinnati Bengals,Paul Brown Stadium,60364,482917,2010
Minnesota Vikings,Hubert H. Humphrey Metrodome**,58751,470009,2010
Detroit Lions,Ford Field,56285,450286,2010
Buffalo Bills,Ralph Wilson Stadium**,63195,442366,2010
St. Louis Rams,Edward Jones Dome,52922,423383,2010
Tampa Bay Buccaneers,Raymond James Stadium,49314,394513,2010
Oakland Raiders,Oakland–Alameda County Coliseum,46431,371448,2010
