TEAM,ARENA,AVERAGE ATTENDANCE,TOTAL ATTENDANCE,YEAR
Chicago Blackhawks,United Center,21751,891827,2016
Montreal Canadiens,Bell Centre,21288,872808,2016
Detroit Red Wings,Joe Louis Arena,20027,821107,2016
Pittsburgh Penguins,PPG Paints Arena,19762,810273,2016
Toronto Maple Leafs,Air Canada Centre,19744,809519,2016
Philadelphia Flyers,Wells Fargo Center,19644,805408,2016
St. Louis Blues,Scottrade Center,19539,801127,2016
Tampa Bay Lightning,Amalie Arena,19092,782772,2016
Minnesota Wild,Xcel Energy Center,19070,781879,2016
Calgary Flames,Scotiabank Saddledome,18727,767829,2016
Vancouver Canucks,Rogers Arena,18509,758891,2016
Washington Capitals,Verizon Center,18506,758746,2016
Edmonton Oilers,Rogers Place,18347,752227,2016
Los Angeles Kings,Staples Center,18240,747858,2016
Buffalo Sabres,KeyBank Center,18141,743819,2016
Dallas Stars,American Airlines Center,18101,742163,2016
New York Rangers,Madison Square Garden,18020,738828,2016
Boston Bruins,TD Garden,17565,720165,2016
San Jose Sharks,SAP Center at San Jose,17508,717833,2016
Nashville Predators,Bridgestone Arena,17159,703555,2016
Ottawa Senators,Canadian Tire Centre,16744,686534,2016
Anaheim Ducks,Honda Center,15942,653632,2016
Columbus Blue Jackets,Nationwide Arena,15857,650157,2016
Winnipeg Jets,MTS Centre,15731,645004,2016
Colorado Avalanche,Pepsi Center,14835,608252,2016
Florida Panthers,BB&T Center,14620,599447,2016
New Jersey Devils,Prudential Center,14567,597261,2016
New York Islanders,Barclays Center,13101,537149,2016
Arizona Coyotes,Gila River Arena,13094,536878,2016
Carolina Hurricanes,PNC Arena,11776,482829,2016
Total,,18117,21525777,2016
Chicago Blackhawks,United Center,22859,896240,2015
Montreal Canadiens,Bell Centre,22288,872808,2015
Detroit Red Wings,Joe Louis Arena,20027,821107,2015
Philadelphia Flyers,Wells Fargo Center,19228,788319,2015
Toronto Maple Leafs,Air Canada Centre,19158,785485,2015
Calgary Flames,Scotiabank Saddledome,19145,784974,2015
Tampa Bay Lightning,Tampa Bay Times Forum,19092,782772,2015
Minnesota Wild,Xcel Energy Center,19062,762481,2015
Buffalo Sabres,First Niagara Center,18590,762223,2015
Pittsburgh Penguins,Consol Energy Center,18550,760584,2015
Washington Capitals,Verizon Center,18510,758944,2015
St. Louis Blues,Scottrade Center,18450,756483,2015
Vancouver Canucks,Rogers Arena,18431,755677,2015
Dallas Stars,American Airlines Center,18376,753452,2015
Los Angeles Kings,Staples Center,18274,749234,2015
Ottawa Senators,Canadian Tire Centre,18084,741472,2015
New York Rangers,Madison Square Garden,18006,738246,2015
Boston Bruins,TD Garden,17565,702600,2015
Nashville Predators,Bridgestone Arena,16971,695828,2015
Edmonton Oilers,Rexall Place,16841,690499,2015
San Jose Sharks,SAP Center at San Jose,16746,686623,2015
Anaheim Ducks,Honda Center,16336,669805,2015
Colorado Avalanche,Pepsi Center,16206,648232,2015
Florida Panthers,BB&T Center,15384,630746,2015
Winnipeg Jets,MTS Centre,15294,627054,2015
New Jersey Devils,Prudential Center,15073,618029,2015
Columbus Blue Jackets,Nationwide Arena,14665,601293,2015
New York Islanders,Barclays Center,13626,558705,2015
Arizona Coyotes,Gila River Arena,13433,550763,2015
Carolina Hurricanes,PNC Arena,10102,500363,2015
Total,,17482,21451041,2015
Chicago Blackhawks,United Center,21769,892532,2014
Montreal Canadiens,Bell Centre,21286,872752,2014
Detroit Red Wings,Joe Louis Arena,20027,821107,2014
Philadelphia Flyers,Wells Fargo Center,19270,790107,2014
Calgary Flames,Scotiabank Saddledome,19097,782977,2014
Toronto Maple Leafs,Air Canada Centre,19062,781576,2014
Minnesota Wild,Xcel Energy Center,19023,779944,2014
Tampa Bay Lightning,Tampa Bay Times Forum,18823,771761,2014
Vancouver Canucks,Rogers Arena,18710,767149,2014
Pittsburgh Penguins,Consol Energy Center,18617,763319,2014
Washington Capitals,Verizon Center,18506,740240,2014
Buffalo Sabres,First Niagara Center,18580,761809,2014
St. Louis Blues,Scottrade Center,18545,760349,2014
Los Angeles Kings,Staples Center,18265,748893,2014
Ottawa Senators,Canadian Tire Centre,18246,748112,2014
New York Rangers,Madison Square Garden,18006,738246,2014
Boston Bruins,TD Garden,17565,720165,2014
San Jose Sharks,SAP Center at San Jose,17420,696807,2014
Dallas Stars,American Airlines Center,17350,711359,2014
Anaheim Ducks,Honda Center,16874,691835,2014
Nashville Predators,Bridgestone Arena,16854,691028,2014
Edmonton Oilers,Rexall Place,16839,690399,2014
Colorado Avalanche,Pepsi Center,16176,663247,2014
Columbus Blue Jackets,Nationwide Arena,15511,635973,2014
New York Islanders,Nassau Veterans Memorial Coliseum,15334,628729,2014
New Jersey Devils,Prudential Center,15189,622783,2014
Winnipeg Jets,MTS Centre,15037,616556,2014
Arizona Coyotes,Gila River Arena,13345,547149,2014
Carolina Hurricanes,PNC Arena,12594,516375,2014
Florida Panthers,BB&T Center,11265,461877,2014
Total,,17439,21415155,2014
Chicago Blackhawks,United Center,22623,927545,2013
Detroit Red Wings,Joe Louis Arena,22149,908131,2013
Montreal Canadiens,Bell Centre,21273,872193,2013
Philadelphia Flyers,Wells Fargo Center,19839,813411,2013
Vancouver Canucks,Rogers Arena,19770,810594,2013
Toronto Maple Leafs,Air Canada Centre,19446,797310,2013
Calgary Flames,Scotiabank Saddledome,19302,791389,2013
Los Angeles Kings,Staples Center,19017,779734,2013
