Arena,Location,Team(s),Capacity,Opened,Ref(s)
Air Canada Centre,"Toronto, Ontario",Toronto Raptors,19800,1999,[1][2]
American Airlines Arena,"Miami, Florida",Miami Heat,19600,1999,[1][3]
American Airlines Center,"Dallas, Texas",Dallas Mavericks,19200,2001,[1][4]
Amway Center,"Orlando, Florida",Orlando Magic,18846,2010,[1][5]
AT&T Center,"San Antonio, Texas",San Antonio Spurs,18418,2002,[1]
Bankers Life Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,17923,1999,[1][6]
Barclays Center,"Brooklyn, New York",Brooklyn Nets,17732,2012,[1][7]
Bradley Center,"Milwaukee, Wisconsin",Milwaukee Bucks,18717,1988,[1][8]
Chesapeake Energy Arena,"Oklahoma City, Oklahoma",Oklahoma City Thunder,18203,2002,[1][9]
FedExForum,"Memphis, Tennessee",Memphis Grizzlies,18119,2004,[1]
Golden 1 Center,"Sacramento, California",Sacramento Kings,17608,2016,[1][10]
Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,21000,2017,
Madison Square Garden,"New York City, New York",New York Knicks,19812,1968 †,[1][11]
Moda Center,"Portland, Oregon",Portland Trail Blazers,19980,1995,[1]
Oracle Arena,"Oakland, California",Golden State Warriors,19596,1966,[1][12]
Pepsi Center,"Denver, Colorado",Denver Nuggets,19155,1999,[1][13]
Philips Arena,"Atlanta, Georgia",Atlanta Hawks,18118,1999,[1]
Quicken Loans Arena,"Cleveland, Ohio",Cleveland Cavaliers,20562,1994,[1][14]
Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,16867,1999,[1][15]
Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,19077,2005,[1]
Staples Center,"Los Angeles, California",Los Angeles Clippers Los Angeles Lakers,"19,060 (Clippers games) 18,997 (Lakers games)",1999,[1][16]
Talking Stick Resort Arena,"Phoenix, Arizona",Phoenix Suns,18422,1992,[1]
Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,19356,1990,[1]
TD Garden,"Boston, Massachusetts",Boston Celtics,18624,1995,[1][17]
Toyota Center,"Houston, Texas",Houston Rockets,18055,2003,[1]
United Center,"Chicago, Illinois",Chicago Bulls,20917,1994,[1]
Verizon Center,"Washington, D.C.",Washington Wizards,20356,1997,[1]
Vivint Smart Home Arena,"Salt Lake City, Utah",Utah Jazz,19911,1991,[1][18]
Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia 76ers,20328,1996,[1]
