Name,Seating capacity,Location,Playing surface,Roof type,Team(s),Opened,Ref(s)
Arrowhead Stadium,76416,"Kansas City, Missouri",Latitude 36 Bermuda Grass,Open,Kansas City Chiefs,1972,[5]
AT&T Stadium,80000,"Arlington, Texas",Matrix RealGrass artificial turf,Retractable,Dallas Cowboys,2009,[6][7]
Bank of America Stadium,75419,"Charlotte, North Carolina",Voyager Bermuda Grass,Open,Carolina Panthers,1996,[8]
CenturyLink Field,68000,"Seattle, Washington",FieldTurf Revolution,Open,Seattle Seahawks,2002,[9]
EverBank Field,67246,"Jacksonville, Florida",Tifway 419 Bermuda Grass,Open,Jacksonville Jaguars,1995,[10]
FedExField,82000,"Landover, Maryland",Latitude 36 Bermuda Grass,Open,Washington Redskins,1997,[11]
FirstEnergy Stadium,67895,"Cleveland, Ohio",Kentucky Bluegrass,Open,Cleveland Browns,1999,[12][13]
Ford Field,65000,"Detroit, Michigan",FieldTurf Classic HD,Fixed,Detroit Lions,2002,[14]
Gillette Stadium,66829,"Foxborough, Massachusetts",FieldTurf Revolution,Open,New England Patriots,2002,[15]
Hard Rock Stadium,65326,"Miami Gardens, Florida",Platinum TE Paspalum,Open,Miami Dolphins,1987,[16]
Heinz Field,68400,"Pittsburgh, Pennsylvania",Kentucky Bluegrass,Open,Pittsburgh Steelers,2001,[17]
Lambeau Field,81435,"Green Bay, Wisconsin",Desso GrassMaster[18],Open,Green Bay Packers,1957,[19]
Levi's Stadium,68500,"Santa Clara, California",Tifway II Bermuda Grass / Perennial Ryegrass mixture,Open,San Francisco 49ers,2014,[20]
Lincoln Financial Field,69596,"Philadelphia, Pennsylvania",Desso GrassMaster,Open,Philadelphia Eagles,2003,[21]
Los Angeles Memorial Coliseum,93605,"Los Angeles, California",Santa Ana Bermuda Grass,Open,Los Angeles Rams,1923,[22]
Lucas Oil Stadium,67000,"Indianapolis, Indiana",FieldTurf Classic HD,Retractable,Indianapolis Colts,2008,[23]
M&T Bank Stadium,71008,"Baltimore, Maryland",Tifway 419 Bermuda Grass,Open,Baltimore Ravens,1998,[24]
Mercedes-Benz Superdome,76468,"New Orleans, Louisiana",UBU Sports Speed Series S5-M Synthetic Turf[25],Fixed,New Orleans Saints,1975,[26]
Mercedes-Benz Stadium,71000,"Atlanta, Georgia",FieldTurf Revolution[27],Retractable,Atlanta Falcons,2017,[28]
MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf[29],Open,New York Giants New York Jets,2010,[30]
New Era Field,71608,"Orchard Park, New York",A-Turf Titan 50 (artificial)[31],Open,Buffalo Bills,1973,[31]
Nissan Stadium,69143,"Nashville, Tennessee",TifSport Bermuda Grass,Open,Tennessee Titans,1999,[32]
NRG Stadium,72220,"Houston, Texas",UBU Sports Speed Series S5-M Synthetic Turf [33],Retractable,Houston Texans,2002,[34]
Oakland–Alameda County Coliseum,53286,"Oakland, California",Tifway II Bermuda Grass,Open,Oakland Raiders,1966,[35]
Paul Brown Stadium,65515,"Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open,Cincinnati Bengals,2000,[36]
Raymond James Stadium,65890,"Tampa, Florida",Tifway 419 Bermuda Grass,Open,Tampa Bay Buccaneers,1998,[37]
Soldier Field,61500,"Chicago, Illinois",Kentucky Bluegrass,Open,Chicago Bears,1924[nb 1],[38]
Sports Authority Field at Mile High,76125,"Denver, Colorado",Kentucky Bluegrass,Open,Denver Broncos,2001,[39]
StubHub Center,30000,"Carson, California",Bandera Bermuda Grass,Open,Los Angeles Chargers,2003,[40]
University of Phoenix Stadium,63400,"Glendale, Arizona",Tifway 419 Bermuda Grass,Retractable,Arizona Cardinals,2006,[41]
U.S. Bank Stadium,66655,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf[42],Fixed,Minnesota Vikings,2016,[43]
