Arena,Location,Team(s),Capacity,Opened,Season of first NHL game^,Ref(s)
Air Canada Centre,"Toronto, Ontario",Toronto Maple Leafs,18819,1999,1998-99,[1]
Amalie Arena,"Tampa, Florida",Tampa Bay Lightning,19092,1996,1996-97,[2]
American Airlines Center,"Dallas, Texas",Dallas Stars,18532,2001,2001-02,[3]
BB&T Center,"Sunrise, Florida",Florida Panthers,19250,1998,1998-99,[4]
Barclays Center,"Brooklyn, New York",New York Islanders,15795,2012,2015-16,[5]
Bell Centre,"Montreal, Quebec",Montreal Canadiens,21288,1996,1995-96,[6]
Bell MTS Place,"Winnipeg, Manitoba",Winnipeg Jets,15294,2004,2011-12,[7]
Bridgestone Arena,"Nashville, Tennessee",Nashville Predators,17113,1996,1998-99,[3][8]
Canadian Tire Centre,"Ottawa, Ontario",Ottawa Senators,18572,1996,1995-96,[9][10]
Gila River Arena,"Glendale, Arizona",Arizona Coyotes,17125,2003,2003-04,[11]
Honda Center,"Anaheim, California",Anaheim Ducks,17174,1993,1993-94,[11]
KeyBank Center,"Buffalo, New York",Buffalo Sabres,19070,1996,1996-97,[3]
Little Caesars Arena,"Detroit, Michigan",Detroit Red Wings,20000,2017,2017-18,[12]
Madison Square Garden,"New York City, New York",New York Rangers,18006,1968 †,1967-68,[13]
Nationwide Arena,"Columbus, Ohio",Columbus Blue Jackets,18144,2000,2000-01,[14]
Pepsi Center,"Denver, Colorado",Colorado Avalanche,18007,1999,1999-2000,[11]
PNC Arena,"Raleigh, North Carolina",Carolina Hurricanes,18680,1999,1999-2000,[15]
PPG Paints Arena,"Pittsburgh, Pennsylvania",Pittsburgh Penguins,18387,2010,2010-11,[16]
Prudential Center,"Newark, New Jersey",New Jersey Devils,17625,2007,2007-08,[17]
Rogers Arena,"Vancouver, British Columbia",Vancouver Canucks,18910,1995,1995-96,
Rogers Place,"Edmonton, Alberta",Edmonton Oilers,18641,2016,2016-17,[18]
Scotiabank Saddledome,"Calgary, Alberta",Calgary Flames,19289,1983,1983-84,[11]
SAP Center,"San Jose, California",San Jose Sharks,17562,1993,1993-94,[11]
Scottrade Center,"St. Louis, Missouri",St. Louis Blues,19150,1994,1994-95,[3]
Staples Center,"Los Angeles, California",Los Angeles Kings,18230,1999,1999-2000,[3]
TD Garden,"Boston, Massachusetts",Boston Bruins,17565,1995,1995-96,[19]
T-Mobile Arena,"Paradise, Nevada",Vegas Golden Knights,17368,2016,2017-18,[20]
United Center,"Chicago, Illinois",Chicago Blackhawks,19717,1994,1994-95,[21]
Verizon Center,"Washington, D.C.",Washington Capitals,18506,1997,1997-98,[3]
Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia Flyers,19543,1996,1996-97,[3]
Xcel Energy Center,"Saint Paul, Minnesota",Minnesota Wild,17954,2000,2000-01,[11]
