Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
1,Alabama,4849377,48.4,51.6,38.6,1108600,51.1,48.9,3740777,47.6,52.4,1099959,49.5,50.5,1894306,48.3,51.7,746512,43.1,56.9,33.1,2950506,2.3,0.3,58188,39910,19.3,2014
2,Alaska,736732,52.3,47.7,33.3,186769,50.8,49.2,549963,52.9,47.1,198588,55.3,44.7,281476,52.1,47.9,69899,49.1,50.9,38.4,404992,5.2,0.6,68809,53396,11.2,2014
4,Arizona,6731484,49.7,50.3,36.9,1622071,51.0,49.0,5109413,49.2,50.8,1568706,51.6,48.4,2469950,49.2,50.8,1070757,46.0,54.0,37.2,3985952,3.8,0.7,60320,46177,18.2,2014
5,Arkansas,2966369,49.1,50.9,37.8,706140,51.2,48.8,2260229,48.5,51.5,670124,50.5,49.5,1125093,49.0,51.0,465012,44.4,55.6,31.7,1778328,2.5,0.3,54397,38663,18.9,2014
6,California,38802500,49.6,50.4,36.0,9151579,51.0,49.0,29650921,49.2,50.8,9719553,51.4,48.6,14941276,49.5,50.5,4990092,44.2,55.8,40.4,22737827,1.3,0.8,72098,56486,16.4,2014
8,Colorado,5355866,50.3,49.7,36.3,1247145,51.5,48.5,4108721,49.9,50.1,1322943,51.9,48.1,2106206,50.1,49.9,679572,45.5,54.5,35.3,3185538,4.1,0.6,69082,51546,12.0,2014
9,Connecticut,3596677,48.8,51.2,40.5,774876,51.1,48.9,2821801,48.1,51.9,788404,50.9,49.1,1477869,48.6,51.4,555528,43.1,56.9,37.7,2251155,2.3,0.8,90428,64054,10.8,2014
10,Delaware,935614,48.5,51.5,39.6,203842,51.2,48.8,731772,47.8,52.2,213393,50.1,49.9,364620,47.8,52.2,153759,44.6,55.4,36.2,577280,3.5,0.5,65666,50644,12.5,2014
11,District of Columbia,658893,47.4,52.6,33.8,115030,50.7,49.3,543863,46.8,53.2,230863,46.5,53.5,238535,49.0,51.0,74465,40.5,59.5,57.6,385469,8.7,1.8,92181,79273,17.7,2014
12,Florida,19893297,48.9,51.1,41.6,4054023,51.1,48.9,15839274,48.3,51.7,4310707,50.8,49.2,7737613,48.5,51.5,3790954,44.9,55.1,35.2,12758568,2.8,1.0,58752,43035,16.5,2014
13,Georgia,10097343,48.7,51.3,36.1,2491421,51.0,49.0,7605922,48.0,52.0,2404666,50.0,50.0,3952386,48.3,51.7,1248870,43.2,56.8,37.4,5892112,2.7,0.5,62698,45772,18.3,2014
15,Hawaii,1419561,50.5,49.5,38.1,308354,51.3,48.7,1111207,50.3,49.7,347431,54.2,45.8,535715,50.3,49.7,228061,44.5,55.5,37.9,864700,4.2,0.9,58884,48125,11.4,2014
16,Idaho,1634464,50.0,50.0,35.9,431265,51.4,48.6,1203199,49.5,50.5,369313,50.9,49.1,598907,49.6,50.4,234979,47.0,53.0,30.8,940523,4.0,0.4,58426,37944,14.8,2014
17,Illinois,12880580,49.1,50.9,37.5,2984734,51.0,49.0,9895846,48.5,51.5,3034216,50.5,49.5,5073776,49.2,50.8,1787854,43.0,57.0,38.1,7756174,1.6,0.5,71055,51611,14.4,2014
